title_zh,title_en,release_year,listed_in_zh_en,description,rating,duration_min,genre_list
入侵,Intrusion,2021,驚悚片 (Thriller),一場致命的入室搶劫發生在一對夫妻新的夢想家園，受到創傷的妻子尋找答案，卻發現真正的危險才剛要開始。,TV-14,94.0,['Thrillers']
美洲豹,Jaguar,2021,"國際影集 (International TV), Spanish-Language TV Shows, 動作片 (Action)",在1960年代，一位大屠殺倖存者加入了一群自我訓練的間諜，他們尋求對逃往西班牙躲藏的納粹分子進行正義審判。,TV-MA,1.0,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Action & Adventure']"
心魔：比利·米利根的24種面孔,Monsters Inside: The 24 Faces of Billy Milligan,2021,"懸疑片 (Suspense), 訪談式紀錄劇集 (Docuseries), 國際影集 (International TV)",在1970年代末，一名被指控連續強姦的犯罪嫌疑人聲稱有多重人格控制他的行為，引發了一場在美國引起轟動的法律遠征。,TV-14,1.0,"['Crime TV Shows', 'Docuseries', 'International TV Shows']"
復活：埃爾圖爾,Resurrection: Ertugrul,2018,"國際影集 (International TV), 動作片 (Action), 劇情片 (Drama)",一個13世紀的土耳其戰士無意中危及了他的部落，他同意為了新的部落土地而和蘇丹的敵人戰鬥。,TV-14,5.0,"['International TV Shows', 'TV Action & Adventure', 'TV Dramas']"
阿瓦伊·尚穆基,Avvai Shanmughi,1996,"喜劇片 (Comedy), International Movies",離婚不久的一位慈父被拒絕探視女兒，為了能和她共度時間，他化身成一位灰髮的保姆。,TV-PG,161.0,"['Comedies', 'International Movies']"
疾速小車寶寶：克莉絲帝掌舵行動,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,Children & Family Movies,從街機遊戲到乘雪橇的日子，再到驅除打嗝的方法，科瑞卡森好奇的妹妹克莉西獨自在城鎮上展開了快樂和冒險！,TV-Y,61.0,['Children & Family Movies']
牛仔褲,Jeans,1998,"喜劇片 (Comedy), International Movies, 愛情片 (Romance)",當她所愛的男人的父親堅持他的雙胞胎兒子娶雙胞胎姐妹時，這位女士創造了一個可能過於令人信服的另一個自我。,TV-14,166.0,"['Comedies', 'International Movies', 'Romantic Movies']"
《顏值配對：愛情頻譜上》,Love on the Spectrum,2021,"訪談式紀錄劇集 (Docuseries), 國際影集 (International TV), 實境秀 (Reality TV)",對於任何人來說，找到愛情都可能是困難的。對於自閉症譜系障礙的年輕成年人來說，探索充滿變數的約會世界更加複雜。,TV-14,2.0,"['Docuseries', 'International TV Shows', 'Reality TV']"
夢中情人,Minsara Kanavu,1997,"喜劇片 (Comedy), International Movies, 音樂歌舞片 (Musical)",一個交錯的愛情三角關係開始纏繞，當一個男人愛上了一個準修女的女孩，而她卻愛上了他找來幫助追求她的朋友。,TV-PG,147.0,"['Comedies', 'International Movies', 'Music & Musicals']"
暮年狂歡會,Grown Ups,2010,喜劇片 (Comedy),悼念了他們所喜愛的初中籃球教練的離世，五位中年好友聚集在湖邊小屋，重新發現了童年的快樂。,PG-13,103.0,['Comedies']
黑暗天空,Dark Skies,2013,"恐怖片 (Horror), 奇幻片 (Fantasy)",一個家庭在優美的郊區生活被一股外星力量入侵他們的家，當他們努力說服其他人這個致命威脅時，這美好的生活完全破碎了。,PG-13,97.0,"['Horror Movies', 'Sci-Fi & Fantasy']"
偏執狂,Paranoia,2013,驚悚片 (Thriller),被公司的CEO敲詐，一名低階員工發現自己被迫去偵查老闆的競爭對手和前任導師。,PG-13,106.0,['Thrillers']
無法言說的故事,Ankahi Kahaniya,2021,"劇情片 (Drama), Independent Movies, International Movies",當大都市的生活在他們周圍繁忙時，孤獨的靈魂在愛、失落和渴望的三個故事中發現了意想不到的連結和陪伴。,TV-14,111.0,"['Dramas', 'Independent Movies', 'International Movies']"
芝加哥派對阿姨,Chicago Party Aunt,2021,喜劇片 (Comedy),《芝加哥派對阿姨》是一部以迪安為主角的影集，她是一個備受敬仰的麻煩製造者，擁有逃避成年生活的天賦，同時對她正在尋找自我的外甥有一絲軟弱之情。,TV-MA,1.0,['TV Comedies']
性教育,Sex Education,2020,"英國影集 (British TV), 國際影集 (International TV), 喜劇片 (Comedy)",不安的奧提斯在性方面有所有答案，這要歸功於他的治療師媽媽。因此叛逆的梅芙提議在學校開設性治療診所。,TV-MA,3.0,"['British TV Shows', 'International TV Shows', 'TV Comedies']"
魷魚遊戲,Squid Game,2021,"國際影集 (International TV), 劇情片 (Drama), 驚悚片 (Thriller)",數百名入不敷出的玩家接受了一個奇怪的邀請，參加兒童遊戲比賽。裡面有一個誘人的獎品等著他們 - 但代價是致命的高風險。,TV-MA,1.0,"['International TV Shows', 'TV Dramas', 'TV Thrillers']"
泰奧與小巫師,Tayo and Little Wizards,2020,Kids' TV,泰勞的朋友被邪惡的魔法師綁架，他為了拯救朋友，踏上了冒險之旅，因為那些魔法師入侵了他們的城市，想要找到一顆神奇的寶石。,TV-Y7,1.0,"[""Kids' TV""]"
移山的父親,The Father Who Moves Mountains,2021,"劇情片 (Drama), International Movies, 驚悚片 (Thriller)",當他的兒子在山上的一次雪中迷路時，一位退休情報官決心不計一切代價，冒著一切危險去找到他。,TV-MA,110.0,"['Dramas', 'International Movies', 'Thrillers']"
堡壘,The Stronghold,2021,"動作片 (Action), 劇情片 (Drama), International Movies",在小案件中受夠了的三名馬賽警察有機會打擊一個重要的毒品網絡。但當一名重要線人提出重大要求時，界線變得模糊起來。,TV-MA,105.0,"['Action & Adventure', 'Dramas', 'International Movies']"
愤怒的小鸟,Angry Birds,2018,"Kids' TV, 喜劇片 (Comedy)",紅鳥、查克和他們的羽毛朋友在守護鳥巢裡的蛋時，會有許多冒險。煩人的豬總是想要偷走蛋。,TV-Y7,1.0,"[""Kids' TV"", 'TV Comedies']"
龍之誕生,Birth of the Dragon,2017,"動作片 (Action), 劇情片 (Drama)",年輕的李小龍教外人武術，激怒了功夫傳統派，最後與少林高手決戰。這部電影取材自真實事件。,PG-13,96.0,"['Action & Adventure', 'Dramas']"
小小彼姆,Chhota Bheem,2021,Kids' TV,一位勇敢、充滿活力的小男孩擁有超凡的能力，帶領朋友們展開刺激的冒險，保護村民不受邪惡的侵害。,TV-Y7,3.0,"[""Kids' TV""]"
席儿与能量大师,He-Man and the Masters of the Universe,2021,"Kids' TV, 奇幻片 (Fantasy)",強大的少年亞當和他英雄般的不拘小隊發現了格雷斯庫的傳奇力量，以及他們守護以特尼亞免受邪惡的骷髏王的命運。,TV-Y7,1.0,"[""Kids' TV"", 'TV Sci-Fi & Fantasy']"
大白鯊,Jaws,1975,"動作片 (Action), Classic Movies, 劇情片 (Drama)",當一隻貪婪的大白鯊恐嚇阿米蒂島時，一名警察局長、一位海洋學家和一名經驗豐富的鯊魚獵人試圖摧毀這頭獸。,PG,124.0,"['Action & Adventure', 'Classic Movies', 'Dramas']"
大白鯊2,Jaws 2,1978,"劇情片 (Drama), 恐怖片 (Horror), 驚悚片 (Thriller)",距離上次致命的鯊魚襲擊已經四年，警察局長馬丁·布羅迪努力保護阿米蒂島，以免再次有一隻殺人的大白鯊出現。,PG,116.0,"['Dramas', 'Horror Movies', 'Thrillers']"
大白鯊3,Jaws 3,1983,"動作片 (Action), 恐怖片 (Horror), 驚悚片 (Thriller)",在一個海洋主題公園的工作人員試圖捕捉一隻年輕的大白鯊後，他們發現它的母親已侵入了圍欄並且渴望報復。,PG,98.0,"['Action & Adventure', 'Horror Movies', 'Thrillers']"
大白鯊4：復仇之戰,Jaws: The Revenge,1987,"動作片 (Action), 恐怖片 (Horror), 驚悚片 (Thriller)",在另一起致命的鯊魚襲擊之後，艾倫·布羅迪對阿米蒂島已經受夠了，她搬到了加勒比地區，但一隻大白鯊也跟著到了那裡。,PG-13,91.0,"['Action & Adventure', 'Horror Movies', 'Thrillers']"
我的英雄是牛仔们,My Heroes Were Cowboys,2021,紀錄片 (Documentary),羅賓·威爾特希爾的痛苦童年被西部片拯救了。現在他生活在他的夢想邊疆，訓練他喜愛的馬匹出演大銀幕。,PG,23.0,['Documentaries']
安全屋,Safe House,2012,動作片 (Action),年輕的CIA特工馬特·衛斯頓必須將一名危險的罪犯從一個遭受攻擊的機構安全屋中帶出，並將他帶到一個更安全的地方。,R,115.0,['Action & Adventure']
聰明的金錢女人,The Smart Money Woman,2020,"國際影集 (International TV), 愛情片 (Romance), 喜劇片 (Comedy)",五個年輕有型的千禧世代努力追求成功，同時兼顧事業、財務、愛情和友誼。根據Arese Ugwu於2016年的暢銷小說改編而成。,TV-MA,1.0,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']"
訓練日,Training Day,2001,"劇情片 (Drama), 驚悚片 (Thriller)",一位菜鳥警察只有一天的時間向資深的洛杉磯警局毒品調查人員證明自己，他接受了導師可疑正義觀念的快速培訓。,R,122.0,"['Dramas', 'Thrillers']"
城堡與城堡,Castle and Castle,2021,"國際影集 (International TV), 劇情片 (Drama)",一對高效率成功的律師發現自己在法律體系的對立利益中進行辯護，這導致他們幸福的婚姻產生壓力。,TV-MA,2.0,"['International TV Shows', 'TV Dramas']"
法界戰場,Dharmakshetra,2014,"國際影集 (International TV), 劇情片 (Drama), 奇幻片 (Fantasy)",在古老的大戰之後，神祇奇特拉古普塔負責裁定誰是這場戰鬥真正的英雄和惡棍。,TV-PG,1.0,"['International TV Shows', 'TV Dramas', 'TV Sci-Fi & Fantasy']"
犬夜叉電影2：鏡中的另一個城堡,InuYasha the Movie 2: The Castle Beyond the Looking Glass,2002,"動作片 (Action), Anime Features, International Movies",隨著他們最大的敵人看似已被打敗，犬夜叉和他的朋友們回到了平凡的生活中。但和平很快被一個新興的敵人打破。,TV-14,99.0,"['Action & Adventure', 'Anime Features', 'International Movies']"
犬夜叉電影3：正義之劍,InuYasha the Movie 3: Swords of an Honorable Ruler,2003,"動作片 (Action), Anime Features, International Movies",偉大的犬妖留下了牙的三劍中的一把給他的兩個兒子。現在第三把劍的邪惡力量已經被喚醒。,TV-14,99.0,"['Action & Adventure', 'Anime Features', 'International Movies']"
犬夜叉劇場版第4集：神秘島的火焰,InuYasha the Movie 4: Fire on the Mystic Island,2004,"動作片 (Action), Anime Features, International Movies",愛，一位年輕的半妖，從蓬萊島逃脫，試圖幫助她的族人，現在與潛在的救世主稻荷神、殺生丸和桔梗一起回來了。,TV-PG,88.0,"['Action & Adventure', 'Anime Features', 'International Movies']"
犬夜叉電影版：時代的痕跡,InuYasha the Movie: Affections Touching Across Time,2001,"動作片 (Action), Anime Features, International Movies",一個強大的惡魔被封印了兩百年。但當惡魔的兒子被喚醒時，世界的命運岌岌可危。,TV-PG,100.0,"['Action & Adventure', 'Anime Features', 'International Movies']"
當噴彩遇上專業,Nailed It,2021,實境秀 (Reality TV),家庭烘焙師嘗試重現可以品嚐的大師級作品，以爭取10000美元的獎金，但他們的烘焙紀錄糟糕透頂。這是一場現實競賽，又是一場混亂不堪。,TV-PG,6.0,['Reality TV']
火影忍者疾風傳：血之監獄,Naruto Shippuden the Movie: Blood Prison,2011,"動作片 (Action), Anime Features, International Movies",被誤認為對四代雷影發動攻擊的忍者火影被囚禁在難以透過的鬼灯城堡，並且他的力量被封印。,TV-14,102.0,"['Action & Adventure', 'Anime Features', 'International Movies']"
火影忍者疾風傳：結合,Naruto Shippûden the Movie: Bonds,2008,"動作片 (Action), Anime Features, International Movies",當神秘的忍者襲擊木葉村時，青少年忍者火影和失蹤已久的好友佐助必須拯救地球。,TV-PG,93.0,"['Action & Adventure', 'Anime Features', 'International Movies']"
火影忍者疾風傳劇場版：火之意志,Naruto Shippûden the Movie: The Will of Fire,2009,"動作片 (Action), Anime Features, International Movies",當五大忍者村中有四個被摧毀時，倖存的村莊領導人試圖找出真正的罪魁禍首，保護他的土地。,TV-PG,96.0,"['Action & Adventure', 'Anime Features', 'International Movies']"
火影忍者疾風傳：劇場版,Naruto Shippuden: The Movie,2007,"動作片 (Action), Anime Features, International Movies",青少年忍者鳴人繼續展開冒險，他的任務是保護一位神職人員免受惡魔的傷害，但為了做到這一點，他必須犧牲自己。,TV-PG,95.0,"['Action & Adventure', 'Anime Features', 'International Movies']"
火影忍者疾風傳：迷失之塔,Naruto Shippuden: The Movie: The Lost Tower,2010,"動作片 (Action), Anime Features, International Movies",當鳴人被派去尋找一名失蹤的忍者時，這名叛逃者成功將他送回了20年前的過去，在那裡他與他的父親聯合對抗邪惡。,TV-14,85.0,"['Action & Adventure', 'Anime Features', 'International Movies']"
火影忍者劇場版2：葛雷之石的傳說,Naruto the Movie 2: Legend of the Stone of Gelel,2005,"動作片 (Action), Anime Features, International Movies",在一次尋找遺失寵物的任務中，鳴人和其他兩名忍者遭到了神秘的忽必烈帶領的殘酷騎士的伏擊。,TV-PG,97.0,"['Action & Adventure', 'Anime Features', 'International Movies']"
火影忍者劇場版：新月之守護者,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,"動作片 (Action), Anime Features, International Movies",活潑的忍者鳴人與他的朋友櫻和卡卡西一起護送道小王子満和他的兒子光到新月王國。,TV-PG,95.0,"['Action & Adventure', 'Anime Features', 'International Movies']"
火影忍者：雪國忍者之戰,Naruto the Movie: Ninja Clash in the Land of Snow,2004,"動作片 (Action), Anime Features, International Movies",火影忍者、佐助和櫻葉得知他們將在女演員拍攝下一部電影時保護她不受傷害，但後來發現她是一位公主。,TV-PG,83.0,"['Action & Adventure', 'Anime Features', 'International Movies']"
夜夜書籍,Nightbooks,2021,Children & Family Movies,恐怖故事愛好者Alex必須每晚講述一個毛骨悚然的故事，否則他將永遠被困在一個邪惡女巫的魔法公寓裡，與他的新朋友一起。,TV-PG,103.0,['Children & Family Movies']
數字積木,Numberblocks,2021,Kids' TV,在一個叫做「數字之國」的地方，當一群開朗的積木一起工作、玩耍和唱歌時，數學變得非常有趣。,TV-Y,6.0,"[""Kids' TV""]"
王者廚房與其他故事,Raja Rasoi Aur Anya Kahaniyan,2014,"訪談式紀錄劇集 (Docuseries), 國際影集 (International TV)",探索印度地方菜系的歷史和風味，從傳統的克什米爾盛宴到古吉拉特素食菜餚。,TV-G,1.0,"['Docuseries', 'International TV Shows']"
救命金鈴,Saved by the Bell,1994,"Kids' TV, 喜劇片 (Comedy)",從中學到大學，好朋友Zack、Kelly、Slater、Jessie、Screech和Lisa在這部熱門影集中一起面對生活的高峰和低谷。,TV-PG,9.0,"[""Kids' TV"", 'TV Comedies']"
舒馬赫,Schumacher,2021,"紀錄片 (Documentary), International Movies, Sports Movies",透過獨家訪問和檔案影片，這部紀錄片描繪了七屆一級方程式冠軍迈克尔·舒马赫的親密肖像。,TV-14,113.0,"['Documentaries', 'International Movies', 'Sports Movies']"
泰戈爾故事集,Stories by Rabindranath Tagore,2015,"國際影集 (International TV), 劇情片 (Drama)",諾貝爾獎得主拉賓德拉納特·泰戈爾的作品在這部故事集中變得生動，故事背景設定在20世紀初的孟加拉。,TV-PG,1.0,"['International TV Shows', 'TV Dramas']"
玩火的我：拉丁美洲,Too Hot To Handle: Latino,2021,"國際影集 (International TV), 實境秀 (Reality TV), 愛情片 (Romance)",在這個真人實境秀中，來自拉丁美洲和西班牙的單身人士將接受放棄性行為的挑戰。但在這裡，禁慾帶來了美好的一面：10萬美元的獎金。,TV-MA,1.0,"['International TV Shows', 'Reality TV', 'Romantic TV Shows']"
一個故事機器人太空冒險,A StoryBots Space Adventure,2021,Children & Family Movies,跟著StoryBots和歷史性的Inspiration4太空任務中的太空旅行者一起尋找孩子們有關太空的問題的答案。,TV-Y,13.0,['Children & Family Movies']
傑克懷特霍爾：與父親的旅行,Jack Whitehall: Travels with My Father,2021,"英國影集 (British TV), 訪談式紀錄劇集 (Docuseries), 國際影集 (International TV)",在這部歡樂的喜劇中，傑克·懷特霍爾邀請他拘謹的父親邁克爾和他一起在東南亞旅行，試圖加深他們之間的聯繫。,TV-MA,5.0,"['British TV Shows', 'Docuseries', 'International TV Shows']"
大亨,King of Boys,2018,"劇情片 (Drama), International Movies",當一位強大的女商人的政治抱負受到她與地下世界的聯繫威脅時，隨之而來的權力鬥爭可能會讓她付出一切的代價。,TV-MA,182.0,"['Dramas', 'International Movies']"
世界最驚人的度假租屋,The World's Most Amazing Vacation Rentals,2021,實境秀 (Reality TV),憑藉著對每個預算的精打細算，三位旅行者造訪全球各地的度假租屋，並在這個真人實境節目中分享他們的專家建議和訣竅。,TV-PG,2.0,['Reality TV']
求生大挑戰：絕境求生,You vs. Wild: Out Cold,2021,Children & Family Movies,飛機失事後，熊因失憶而必須做出選擇，拯救失蹤的飛行員並在這場高風險的互動冒險中生存下來。,TV-G,106.0,['Children & Family Movies']
弱腿車手,Yowamushi Pedal,2013,"Anime Series, 國際影集 (International TV)",一位膽小、熱愛動漫的青少年被吸引到學校的自行車俱樂部，他的新朋友們幫助他面對艱難挑戰，發展他的賽車天賦。,TV-14,1.0,"['Anime Series', 'International TV Shows']"
小辛格漢 - 黑影,Little Singham - Black Shadow,2021,"Children & Family Movies, 喜劇片 (Comedy)",年僅小小警探小辛厄失去了所有超能力，當他試圖阻止惡魔卡爾的新惡計時！他的內在力量能幫助他打敗敵人嗎？,TV-Y7,48.0,"['Children & Family Movies', 'Comedies']"
土格拉克王朝,Tughlaq Durbar,2020,"喜劇片 (Comedy), 劇情片 (Drama), International Movies",一位新興政治人物擁有陰謀詭計，想要在政界上升 — 直到一個意想不到的新存在開始干擾他的每一個不正當行為。,TV-14,145.0,"['Comedies', 'Dramas', 'International Movies']"
托格拉克王朝 (泰盧固語),Tughlaq Durbar (Telugu),2021,"喜劇片 (Comedy), 劇情片 (Drama), International Movies",一位新興政治家有陰謀策劃要在職位上升，直到一股意外的新力量開始干擾他的每一個不正當動作。,TV-14,145.0,"['Comedies', 'Dramas', 'International Movies']"
銀龍菲爾德雷克,Firedrake the Silver Dragon,2021,Children & Family Movies,當他的家受到人類威脅時，一隻年輕的龍鼓起勇氣尋找一個神話般的天堂，讓龍可以在那裡和平地生活並自由飛翔。,TV-Y7,93.0,['Children & Family Movies']
凱特,Kate,2021,動作片 (Action),一名冷酷的刺客在東京工作，她在最後一次任務中被下了致命毒藥，現在只剩不到24小時的時間來找出是誰下令刺殺她，並展開報復。,R,106.0,['Action & Adventure']
路西法,Lucifer,2021,"懸疑片 (Suspense), 喜劇片 (Comedy), 劇情片 (Drama)",對於成為地獄之王感到厭倦的魔鬼，決定搬到洛杉磯，開了一家夜店，並與一名殺人案偵查警探建立了聯繫。,TV-14,6.0,"['Crime TV Shows', 'TV Comedies', 'TV Dramas']"
金屬工藝大師,Metal Shop Masters,2021,實境秀 (Reality TV),在這個比賽節目中，一群金屬藝術家使用火炬、切割和焊接從硬鋼中創造出史詩般的、厲害的作品。只有一個人能贏得5萬美元的獎金。,TV-MA,1.0,['Reality TV']
小混混：黑幫傳奇,Omo Ghetto: the Saga,2020,"動作片 (Action), 喜劇片 (Comedy), 劇情片 (Drama)",一位善良的女黑幫和她拘謹富裕的姐妹重逢，他們一同面對家庭、犯罪、警察和所有跟隨他們的麻煩。,TV-MA,147.0,"['Action & Adventure', 'Comedies', 'Dramas']"
寶可夢大師旅程：進化篇,Pokémon Master Journeys: The Series,2021,"Anime Series, Kids' TV",在艾許通過世界冠軍系列的戰鬥中，歌兒繼續努力追逐每一隻神奇寶貝。他們一起展開冒險之旅！,TV-Y7,1.0,"['Anime Series', ""Kids' TV""]"
獵物,Prey,2021,"International Movies, 驚悚片 (Thriller)",一趟進入荒野的遠足旅行，對於五個朋友來說變成了一場迫不及待的求生之旅，他們得逃避一名神秘的槍手。,TV-MA,87.0,"['International Movies', 'Thrillers']"
提提波，提提波,Titipo Titipo,2019,"Kids' TV, Korean TV Shows",提提婆火車準備證明他有能力幫助火車村的人們安全可靠地騎軌。,TV-Y,2.0,"[""Kids' TV"", 'Korean TV Shows']"
血之兄弟：馬爾科姆X與穆罕默德阿里,Blood Brothers: Malcolm X & Muhammad Ali,2021,"紀錄片 (Documentary), Sports Movies",從一次偶然的相遇到一場悲慘的分裂，馬爾科姆X和穆罕默德·阿里非凡的羈絆在不信任和理想轉變的壓力下崩潰。,PG-13,96.0,"['Documentaries', 'Sports Movies']"
小超人雷神,Mighty Raju,2017,Kids' TV,生來就具有超人能力的年輕拉朱希望利用他的力量讓世界變得更美好 — 但這意味著將面臨許多挑戰！,TV-Y7,4.0,"[""Kids' TV""]"
樂園山岳,Paradise Hills,2019,"奇幻片 (Fantasy), 驚悚片 (Thriller)",烏瑪醒來時身處於一個郁郁蔥蔥的熱帶設施中，設施旨在把任性的女孩變成完美淑女，這本來就糟糕，但它的真正目的更糟。,TV-MA,95.0,"['Sci-Fi & Fantasy', 'Thrillers']"
女人與兇手,The Women and the Murderer,2021,"紀錄片 (Documentary), International Movies",這部紀錄片追蹤了連續殺人犯吉·喬治斯的逮捕過程，透過兩位女性的不懈努力：一位警察局長和一位受害者的母親。,TV-14,92.0,"['Documentaries', 'International Movies']"
闖入黑夜,Into the Night,2021,"國際影集 (International TV), 劇情片 (Drama), TV Mysteries","一部影集的英文簡介 : 
被劫持的夜間航班上的乘客和機組人員，為了在神秘的宇宙事件對下方世界造成嚴重破壞之際，竭力趕在太陽之前趕到目的地。",TV-MA,2.0,"['International TV Shows', 'TV Dramas', 'TV Mysteries']"
捍衛戰警,JJ+E,2021,"劇情片 (Drama), International Movies, 愛情片 (Romance)",伊麗莎白和約翰約翰住在同一個城市，但他們生活在不同的世界裡。一段熱情的初戀能否突破階級和文化隔閡？,TV-MA,91.0,"['Dramas', 'International Movies', 'Romantic Movies']"
狗狗神探,Show Dogs,2018,"Children & Family Movies, 喜劇片 (Comedy)",一隻粗獷的警犬必須與一名FBI特工偽裝成一隻優雅端莊的寵物狗參加狗展，以阻止非法販賣一隻熊貓寶寶。,PG,90.0,"['Children & Family Movies', 'Comedies']"
圈子,The Circle,2021,實境秀 (Reality TV),在這個社會實驗和競賽節目中，地位和策略碰撞，線上玩家們透過調情、交友和假扮來爭取10萬美元的獎金。,TV-MA,3.0,['Reality TV']
如果我明天離開這裡：一部關於林納德史金納德的電影,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,"紀錄片 (Documentary), 音樂歌舞片 (Musical)",透過訪談和檔案影像，本紀錄片重點記錄了傳奇南方搖滾樂隊的故事，並聚焦樂隊主唱羅尼·凡·贊特。,TV-MA,97.0,"['Documentaries', 'Music & Musicals']"
